review,star,label,link_idx
"When they arrived, they looked larger than the normal 11 mids that I usually get. I checked the label inside and it shows the US size as 11-12. As I am more like size 10-3/4, I was concerned as I hate loose sneakers. Turns out that they are only slightly larger than a standard size 11 and were the perfect size for a gel insert to be added. They are light and comfortable and since I put inserts in about half of the sneakers that I buy, for this price, I find these a good deal for the money. The air soles on these actually work to reduce shock to the heel. No durability info as yet but I would recommend these for an inexpensive everyday walking around sneaker. Folks that run a lot probably wouldn't be looking in this price-point anyway, so I would not recommend for folks that heap serious abuse on their running shoes. For the average Joe, I would recommend these.",4,1,8
I have purchased three pairs of these shoes in a couple of colors and am totally satisfied. They look good and I find them to be really comfortable. I use them daily for my five-mile walk. I’ve also worn them on the tennis court. The first pair held up for six months before I thought they were too worn down in the heel. (The rest of the shoe was still in great shape). I thought that was pretty good for an inexpensive shoe.,5,1,8
"I felt totally tricked by Amazon ,I searched for Nike air shoes and they advertised these as Nike,they are not! And the quality and fit are not the same, the shoe felt like a flat tire . I was really dissapointed and offended until I found out it would cost 6.00 just to return them. Now I'm pissed",1,0,8
"I have purchased some unbranded sneakers from Amazon before with comparable price and they not even close when it comes to the thoughtful design and good quality. They are little bit tight and I have to remove the sole padding and replaced them with sole T75 heel and arch support. I have multiple foot issues, notably, burning sensation on the sole once I put on a pair of shoes, and this pair reduced the pain a little bit, and so elated to welcome the little improvement. Another thing is it’s an attentions getter. My coworkers noticed them and I got a lot of nice compliments. I recommend thede shoes!",4,1,8
Love em!,4,1,8
Just know you are buying a knock off,1,0,8
 These shoes fit my son perfect. They look so much like another name brand. He loves them and i loves the cost. These shoes are very stylish and easy to keep clean. With the speed his feet grow i love the value i got from these.they fit true to size and he really likes the look of them.,5,1,8
Great sport running shoes for my husband. They are so comfortable and so soft. He is in love with running every morning and sport. So this pair of shoes are great for him. He will buy for sure one more pair (another color). High quality for a perfect affordable price. Highly recommend,5,1,8
"The Shoes have terrible cushion. After using them 3 to 4 times for a slow jog and mostly walking it feels like the heels have as much cushion as a pair of $.99 cheap flip fop sandals . Totally disappointed, as they look good but they are not for exercise use.
And now I am stuck with 2 pairs, since I missed the return period by 6 days",1,0,8
"WTH... I searched Nike.. was looking for Nike. Had a shoe that cost the same as this.... THAT WAS NIKE yet somehow I failed to notice because of the CHEATING BRAND STEALING KNOCK-OFFS.. is that how China is planing on betting the west? Your wonderful announcements on how you plan on overtaking the west... HOW .. BY STEALING ALL THE TIME?!? I Quantum J.L. Bass holder of the Universal Law: The One Law, the unification theory, the method of iteration temporal travels, and holder of a proof, math-based baseline proof of afterlife and heaven and hell. I tell you this is your curse and path to hell and always falling back from relief. KEEP STEALING YOUR WAY TO DOOM... DISHONOR ON YOU YOU FAMILY AND MAY YOU SEE THE LIGHT BEFORE IT'S TO LATE. ... 5 pairs of knockoffs ... at the same price as real ones.. how sad. Fully dishonored with this. and yall behind so stop trying to beat. See your ways are nothing more then chains that pull you to that darkness. #nothingsWhatItSeems #QuantumsRealm",1,0,8
