review,star,label,link_idx
"I love all the KD shoes and have owned several pairs. But, this style has been one of the most comfortable and most therapeutic for my recent but recurring plantar fasciitis (sucks getting old!). Hard to beat the comfort, style, and therapeutic benefits at this price point. And, though I don't play as much round ball as I did in my younger days, these shoes have inspired me to get back out on the court a bit more.",5,1,18
"I've always loved Nike, just not all there styles. These are clean, not overboard.
The seller listed them a bit higher than others, but they didn't have my size. I'm so picky about style I paid the price. 🤪",5,1,18
these shoes are great. I thought they may have been too big at first but nah. they're simple yet cool at the same time. Can def be worn casually.,5,1,18
"I play pickup basketball. I wear ASO ankle guards and these shoes fit perfectly with or without the ankle braces. They have great grip and support, they feel soft and they look great. I'm really impressed!",5,1,18
Hi it was gift to my sons birthday. Even it’s his size and I got bigger size it’s not fitting right. Would you please reach me ? We couldn’t get out health reason to exchange size. Not worn outside.,1,0,18
My son is very athletic he's got basketball starting soon and I needed a shoe that wasn't breaking my bank. He loved them and thought they were acceptable to wear (you know teens) said they had good grip and really worked.,5,1,18
"Perfect size. Very comfortable. Look great.
My husband loves them.",5,1,18
They fit perfectly i actually have them on now they are a good shoe,5,1,18
My son picked these out and they looked great on the website. They are his favorite tennis shoes EVER!!,5,1,18
In love 🥰,5,1,18
Lindos,5,1,18
Order a 1/2 size down very roomy shoes,3,0,18
They're great shoes I prefer the color black can't really tell if the shoes is dirty anyways hopefully they'll have that color in stock soon,5,1,18
Nothing and Everything.,5,1,18
Toe box to narrow,5,1,18
"Great comfort, and long lasting! Great product!
Prompt service from Amazon!",5,1,18
The shoes have great traction and the top of the shoe breathes really well on the top of the foot while running the court.,5,1,18
The picture didn’t really show how much rainbow type color was on the top part of the shoe. Not worth the expense price unless it’s perfect. I’m my opinion anyway!,4,1,18
The tred falls off when playing basketball on a court 🤬😡🥵,1,0,18
They were too small gave them away. I'd my one size too big,5,1,18
This is an awesome product,5,1,18
Great quality.,5,1,18
Great shoe! Not Bulky like others we have tried.,5,1,18
great,5,1,18
Great shoe,5,1,18
Order 3x longer & Wider than your reg size 9= a 12,2,0,18
Debe mejorar la suela,4,1,18
"Great item, fast shipping",5,1,18
Exactly what I ordered.,5,1,18
My kid loves them,5,1,18
Great gift for Christmas,1,0,18
Good shoes from a good seller :),5,1,18
#1,5,1,18
Nice,5,1,18
Amazing customer service!!!,5,1,18
Looks great fits perfect,5,1,18
shoes,5,1,18
Love them,5,1,18
light basketball shoes,5,1,18
Thanks great shoe,5,1,18
"Shoes arrived in perfect condition, fit perfectly and are extremely comfortable.
Delivery was actually faster than expected, only negative is they kind of just left them at my door without ringing my doorbell.",5,1,18
Ordered half a size more than I normally wear. nike shoes are usually rather tight. space on the side as well as in length. Stability good. comfortable running and jogging.,4,1,18
" They’re nice, light weight. They messed my shoe box up in transit though",4,1,18
"I wear size 11 dress shoes and for 30+ years have purchased Nike running shoes one size larger. My size 12 shoes in this model fit very well. But in this particular model, I could go a half-size larger (but half-sizes stop at 12). So, I'm happy, but must wear thin socks. Note: I do remove Nike's sole insert and put one in that's for those who want arch support. But my insert is quite thin and I'd still go with a 12.5 if Nike made it. My width is 11EE:E, so I like the more abundant width of this model.

Very comfortable every-step landing on this shoe on the 4+ mile 4+ MPH walks with my wife. Cushioned landings. Slight space at toe rather than bottom sole extending to the full tip toe - this makes for an encouraged step forward.

One minor downside is the slightly heavier weight, but nowhere near Nike Monarchs anchors. The upside to the weight is I've found Nike shoes over the years that are heavier actually last longer. I'm talking 7-10 years.

Fantastic running shoe for general purpose workouts.",5,1,18
"Bought these as a nice pair to workout in, so I didn’t expect much...But this is Nike we’re talking about! Since these shoes even fit better than some running shoes that I’ve tried, I’ve started to wear these with regular outfits. Very glad that I gave these a shot.",5,1,18
"I had a pair of these and wore them out, so I knew how they fit and that I would like them. She provides good stability and is very comfortable. Like the all black color scheme, a must have for work.",5,1,18
"Its true to its size,fits perfect 👍🏽👍🏽👍🏽👍🏽iam very satisfy,i will buy another color soon!😃",5,1,18
"Not the most comfortable shoe, however I do like how structure the shoe is because it seems as though it will keep its shape over time, overall they are great all black shoes.",5,1,18
"They did not arrive in their original box, although in the photo it looks lilac, the shoe is completely black with color, lilac and turquoise. In this air max 200 model you have to buy a size or a half more than what you normally use in Nike sports shoes, on the other hand the shoe is very nice and comfortable",5,1,18
"I own another pair of Nike's Air Max. Very high quality and very comfortable shoes. This one though didn't fit me and is very small, although it's the same size US 10. It's also very stiff and feels like wooden shoes. I don't know if it's an original Nike's or a copy, but I'm disappointed. I would like to return it, but I'm unable to do that right now. Very disappointed with the quality of this product, unable to wear it because it's too small, although it's the same US 10 Nike I bought before for the same model",1,0,18
"Great support, comfortand value for money. Hoping they last for a good year. I use the for running, weight training and bike riding. Strictly indoors in home fitness room. Would like to buy more when on sale.",5,1,18
"I bought these for my husband who walks a lot and he says they’re very good, stable shoes but they do sound a little loud and clunky when walking in the house on the hardwood floors (our cats even get scared!).",5,1,18
these are good shoes. came really fast and amazing value for only 60$(that's what I paid) so cute and comfortable. they are a little dirty(see picture)in the crevices,4,1,18
That the order came in 2 different sizes for this shoe..is there a way i can jus get a replqcement for the left shoe since its too small of a size for me to where?,3,0,18
Runs a little small.,3,0,18
I purchased these shoes as a gift for someone else. From what I have been told the fit was good and they were comfortable. Other than that I do not know much about these shoes.,4,1,18
Awesome kicks lots of compliments! They do make you about 2 inches taller though. Not a bad thing at all! I’m 6 ft with these I’m 6’2! Great fit and extra comfy walking or running shoe.,5,1,18
"Very comfortable, felt the difference immediately VS. Cheap shoes or other shoes I’ve used or worked out in , completely worth every penny

My feet just feel so comfy",5,1,18
"Great shoe for the money, I thought the color would be more of a gray but it's more brown. I still like them and they are super comfortable.",5,1,18
"Las compre para mi esposo que trabaja de pie,esa tarde cuando regreso a penas so podia caminar y en la parte trasera del pies una inflamación y coloracion rojiza,no le doy ni una estrella",1,0,18
Look really good and fit well also. Great color scheme !,5,1,18
"Left the security feature on the shoe. :( very disappointed. Planned on wearing these shoes. Ended up having to take time out to go buy another pair wear. What a inconvenience, for the price I paid.",1,0,18
"Wow. Just wow. Stiff, stiff, stiff. These shoes are so hard on the bottom they make you walk like Frankenstein. I can't even....",1,0,18
"Love love love these shoes! They fit my wide feet so perfectly...also, the price isbetter than than retail here in miami.",5,1,18
"These are nice shoes, but they run very small. I read all the prior reviews, in which some said the sizing was great and others commented that the sizes run small. I can confirm that these run small - too small for me to use. And unfortunately I didn't realize that the product was non-returnable. I will stick to walk-in shoe stores from now on.",1,0,18
"I bought these for my husband, he loves them.
He loves the way they look,says they are very comfortable!!",5,1,18
"They appeared to have been worn before, and had some light scuffs on the sides, but cleaned up perfectly. Other than that it's a great shoe,comfortable & lightweight.",3,0,18
Uncomfortable. This shoe was purchased for casual walking!,2,0,18
Comfortable they look just like the picture fit to size ordered for my boyfriend,4,1,18
"Everything was great , condition was great . Fast. Everything was good . Just like if I would have went and bought them myself. And the price to me was great . I would def recommend these sneakers and the seller !!",5,1,18
Very stiff shoe and too small for husband to even get on. Ordered a 1/2 size larger too. Disappointed k returned.,3,0,18
I got an 11.5 which is my size and it was too small. My toes where hitting the front and they felt narrow. Sometimes I'm a 12 in some shoes but these were way to small for my liking. Get half a size bigger.,3,0,18
NICE PRODUCT BUT TOO SMALL. I AM A SIZE 12 & MY TOE IS CRAMMED AT THE TIP! HAD TO RETURN,1,0,18
Very comfortable and definitely catches the eyes of others when wearing them anywhere you travel.,5,1,18
Loved these sneakers but they run 1/2 size smaller. I had to return them for the next size up.,5,1,18
I used to own these shoes and they're so fresh that I had to buy them again. The seller shipped promptly and they're in brand new mint condition.,5,1,18
They fit well and feel sturdy,5,1,18
"Fits more snug than expected, but appreciate the support and quality feel.",5,1,18
"They fit perfec, absolutely LOVE THEM will be purchasing again!",5,1,18
When I first put these shoes on they were very stiff. I figured they'd be okay if I broke them in a bit. After four days they are still terrible. After ten minutes of running my feet and shins hurt too badly to continue. I have never had this experience with any other running shoes. I cannot understand how they have any good reviews.,1,0,18
"Definitely uncomfortable, if you have flat feet...",2,0,18
Very comfortable like Nike,5,1,18
got them for husband. He says they aren't comfortable,3,0,18
My husband loves these shoes! The colors are as shown.,5,1,18
"Great shoes, great condition, fit perfect, no different differbts colord, what you see in the pics thats what you get, realy loved thise shoes..",5,1,18
"Delivery was prompt. Nice sneakers but too small : I am a 9.5 but my toes were right at toe.
I've returned the sneakers , which were paid off with my AMEX points.
So, when you let me know you have gotten them back, I will order a size 10. And, I want the same points used for the 9.5 to get me the 10's.",2,0,18
Good,5,1,18
