review,star,label,link_idx
"I've been wearing a lightweight tennis shoe for work for the past 6 months. So putting these on were much heavier than those, but much lighter than work boots. My first day wearing them I did 160 home deliveries in a thunderstorm/flood advisory that lasted all day, stepping through some pretty large puddles and walked across many mushy/muddy lawns. Then with the bottoms wet, walking onto a stainless steel floor of a truck. The soles gripped well on rocks, gravel, sidewalk, stamped concrete, asphalt, wet trex & wooden porches and even wet stainless steel. Never slipped. Never got my socks wet. Even on a 92 degree day, my feet didn't sweat much. I look forward to taking these hiking on my vacation in 2 weeks, I'll update afterward.

*Update* 12/22/2020
The camping/hiking trip in September 2020 went well. Hiking through mountains and waterfalls my feet stayed dry and gripped well. They arent waterproof, but they have a good balance of water resistance vs mesh to avoid sweat.

Unfortunately I walk around 13 miles/day. I. Purchased these shoes in September 2020. They are coming apart now but after much heavy use. I've walked around 936 miles in 3 months at work alone. 13miles/day, 6 days/week/3months. These shoes should last the average person years to come.",5,1,17
"Purchased these to hike in spring/summer/fall. Got them in time for a trip to the Adirondacks. Coming from Merrel hiking boots and shoes I can easily say these are the best hiking shoes I’ve owned. I don’t usually write reviews, so know that if I felt compelled enough to review, they’re worth it.

Incredibly comfortable right out of the box, I didn’t feel like I needed to break them in at all. I typically wear wider shoes because narrow shoes hurt my feet. Zero discomfort walking to hiking. And the traction on all surfaces was amazing.

Highly recommend these shoes, just not for cold weather, they breathe really well but probably wouldn’t provide any warmth.",5,1,17
"I have many pairs of hiking shoes, most of them are gortex lined. I was looking for a pair specifically not waterproof for a trail I hike monthly which has a water crossing, bc it’s deep enough that water comes in from the top making the gortex useless. Plus once water gets in, it can’t get out and it’s miserable.
These were not as comfortable out of the box as my Solomon hiking boots, or my ASICS gel-venture everyday shoes, but they were decent. Where these shoes shine is traction. I just completed the before mentioned hike and these performed marvelously. I had awesome traction through the water and on the slick rocks. After the crossing hiked another 2+ miles with no issues. The shoes were comfortable the rest of the way and I almost walked them dry. My socks were soaked of course but no big deal, I had fresh socks and shoes at the truck.
If these shoes last, I will be extremely pleased. I will update after more use.",4,1,17
"Others had mentioned that they're loose in the heal - and they are correct even when laced tightly. I will go hiking tomorrow and give an update on 2 hours for fit and traction on sandy dirt( y) soil and report back later.

Style is awesome from the sides, top side is lackluster at best. Bottom tread is confusing but we shall soon see if the new treads grip or slip. ???

Review update 10-28-2019. This shoe surprisingly had great traction on dry loose dirt and mild rocks and gravel on a recent 5 mile trail test. The stiff bottom rubber sole is uncomfortable on sidewalks IMHO. However, on the hiking trails they are sturdy ""grippy"" and reliable. Quite pleased with the price, quality of construction and performance so far.",4,1,17
"I bought these for my trip to Ireland. I needed shoes for every type of terrain from paved walkways to dirt paths to walking on rocks and also waterproof. I was not disappointed, these shoes passed every test. My socks did not get wet once and it rained a lot! And the grip walking on slippery rocks was outstanding, I felt confident with every
step. I got the blue shoes which I think looks great.",5,1,17
"Just received the shoes and tried them on in the house just to get a feel for it. Will update later down the road but these are my first impressions:

1) I used to own the AX2 in size 9 and they fit perfectly. I purchased these in size 9 and they also fit, which is a plus that there’s hardly any deviation in size.
2) Like other folks are saying, the heel feels kinda loose no matter how tight you tie your shoes. This is concerning, so I’ll have to see how well it holds by the next update.
3) There’s hardly much for cushioning or arch support. If I recall correctly, my AX2 shoes were comfy to wear regarding arch and cushioning. These however you will have to buy different insoles to match your arch unless you have flat feet, but even then you may need to buy new insoles to deal with the fact the factory insole doesn’t have much in means of cushioning.
4) For those coming from Salomon shoes (I wear men’s size 8.5 for Salomons) I would recommend getting a half size larger, hence why I bought size 9 for adidas.

Compared to the Salomon Speedcross 4 which is the pair of shoes I’m replacing, I like the fact they fit my wide feet without a break-in period and the treads actually feel like they have good traction. However I don’t like the lack of arch support or cushioning which the Salomon speedcross has.
Hopefully I’ll remember to update",3,0,17
I would have given this a 5 star but I bought them for my husband to work in and he absolutely loves them and will not wear them for work. He says they are too nice to wear them out and price was very decent and was one of the reason I purchased this shoes. I was looking for a hiking shoe that would last more than a few weeks in the Florida summer but he likes them to well to wear every day.,4,1,17
These run a little snug (true to size for regular wear) so if you’re going to be doing any distance or trekking go up a little in size. I went up a half size and they feel great. They fit great out of the box so I know when I put some superfeet in them they’re gonna be fantastic. Plan on taking these for the Camino de Santiago so will update this after.,5,1,17
"I typically go hiking once a week and for a while had just been using tennis shoes with memory foam in the bottom. However the more experienced I became the longer and more rugged my hikes became. After doing a 12 mile hike and getting several blisters on my feet and dealing with constant slippage on the trail I needed a change.

After having worn these for 2 months I can honestly say these Addidas hiking shoes have revolutionized how my feet should feel at the end of a days hike. I get incredible traction on different trails. Especially when going down hill or on patches of loose gravel. I also haven't gotten a single blister on my feet since wearing these and have gone on 2, 15 mile hikes.

On a side note I personally enjoy the small orange accents from the inside of the shoes sole. I like orange as a color and typically most products will over power shoes with it making them annoyingly bright orange, but these offer a satisfying accent that i and my hiking partners find very stylish.

I'm not sure how long these will last but after 2 months of regular hiking there are no tears, signs of wear, or chipping in the bottom traction. I expect at the current rate to get a year out of them if not more. Furthermore I would recommend these to anyone who is doing regular hiking and looking for great value for money shoe without needing to spending over $100 on steel toed or spiked hoking shoes.",5,1,17
"Adidas sold strong well-built shoes. I have four pairs of different colors for work. They will probably outlive me. They are strong enough to hike with. I have narrow, high arch feet. They are a great fit. I just have to tighten them a bit. Very comfortable but at the end of a long day might seem a little heavy. Sole is solid with many lugs for gripping when needed.",5,1,17
"I was so excited to get these. I love Adidas as a company and their sneakers fit great. This style, however, fits poorly at best. It's not just snug, it's uncomfortable. Some folks buy hiking shoes up a size and I feel like Adidas should take fit into account when they calibrate for size. I'm also peeved at the seller because I paid almost $10 for delivery and will have to pay more then $5 to return them. Also -- I'm pretty sure they're not new since they came with a receipt from Dick's Sporting Goods in the box -- OOPS -- as well as a fishing license holder and the receipt for that as well.
Scandalous, I know. An Amazon seller running a game.",1,0,17
"These shoes look nice. Unfortunately the heel cap feels pretty wide and loose with my foot, I find myself getting hot spots after about 3mi or a couple of hours on my feet in them. The do breathe well and quality of construction seems pretty good but time will tell. Overall just okay.",3,0,17
"A modern looking shoe with what seems like a funny fit, and seems to need considerable breaking in.

I picked a 10.5 (my athletic shoe size), and found the the fit...odd. The toe is pointed rather than rounded, so there's extra space at the tip, but my big toe hits the front. Odd design, since feet don't have a point in the center... Even cinched tightly, my heel slips a little (but doesn't come out). I'd need to use a spacer or wear heavy socks. The fit is okay at best.

The sole is pretty rigid for a lightweight shoe, like it couldn't decide if it wanted to be a trail runner or a hiking shoe.

I may be spoiled by other brands that are ""ready to wear"", or may not be used to Adidas' design choices. But I don't want to spend the time breaking this shoe in hoping the fit is better once it's well-worn. It's going back.",3,0,17
"I started shopping for a new cross trainer shoe in Aug 2021. I don't know what has happened to the shoe industry. Hilariously hideous selections in the dept & retail stores. Everything I saw that may have been a possible option was a type of running shoe. If not a running shoe, they were every other kind of shoe except a cross trainer. Worth mentioning again that almost every shoe that was an option was hideous & not a cross trainer. What in the world happened to shoes?

I ended up going to one of the big chain outdoor stores. Over in the hiking section among the boots & hiking shoes, BOOM!! Found these Addidas! Just a few color options but finally, cross trainers that looked awesome & performed as good as they looked.

Their listed price was better than any of the other shoes I had shopped up to that point, easily. $100 - $120 for the hideous shoes, $80 - $90 for these. I did a little research & found that the same shoe on Amazon was selling for nearly 40% less. Yes!

Thank you to the seller here on Amazon for listing these at a discount. My shoes arrived today. I put them on right away & love them. The fit was perfect & they feel great. Going to put them to good use. And probably buy a back up pair asap.

I usually wear a 9.5 - 10 in most Nikes, Addidas, Reebok, New Balance and so on. Took a shot on these in a 9.5 and that was the right decision.

I would recommend these to anyone looking to upgrade their cross trainers / hiking shoes.",5,1,17
"I bought 2 of these. They're my favorite trail runners I've had in a long time. I've been buying Adidas trail runners since the early 90's and I'm really happy with these. They're basically exactly like the trail runners but in the hiking shoe category because of the sturdy build which I find are perfectly great for trail jogging. I have gone hiking and jogging around the trails on pavement, grass and dirt and just love these. The sturdiness of the show is what I'm really impressed by. They're a touch heavier and stiffer than the trail running shoes, but if you're looking for a well made trail runner that will last you, I think these are the best Adidas I've had since the earlier trail runners they used to make in the 90's. I feel they're making sneakers intentionally crappy lately so you will buy more often. I'm loving these so far. I hope they continue making models like this build in the future. I think they look awesome too.",5,1,17
"I'm 4 for 4 buying shoes on Amazon. Over the years I ordered SWAT Sneaker boots, Sketcher leather boots (fit like a glove after break-in) and today my new Adidas Terrex AX3 Hiking Shoes. I love the design and was able to wear them to work today. I received compliments on their looks and eventually came to feel somewhat comfortable in them.

My 1 con is that they are little tight, around the toes (narrow not wide).

I wore thin dress socks and tied them snug and as I walked in them throughout the day they became more comfortable. I think these will need some break in time to become truly comfortable. I recommend at least 1/2 size bigger for those men who like to wear their shoes in wide size or looser.

I'm always leery about buying shoes online without trying them first. So far I have been lucky with Amazon. thanks to the retailer got them within a couple of days.

I will pics shortly",4,1,17
"These things are written up as a hiking shoe, but they're also excellent for trail running. I've got about 50 miles worth of running miles in them on mud, concrete, dirt, and gravel. They aren't showing any signs of tread loss yet, so they're quite durable. The deep tread gives excellent traction is perfect for the hill and mountain dirt trails that I run. They've also got good support and padding, so I've noticed a decent decline in aches and pains vs my old shoes. They're so good for my purposes that I'm considering buying a couple more just to hold on to for the future.

If you're looking for a good set of trail runners, this is it.",5,1,17
