review,star,label,link_idx
I ordered these in my normal shoe size but they ran much too large.,1,0,14
"VERY frustrating that after less than 5 months of extremely light wear, one of the straps broke and the shoe is now useless. We have been on distance learning since the pandemic began so we rarely leave the house. My son has BARELY worn these shoes and they are now useless to us. I cannot afford to replace my son's shoes every 5 months! Buying these was a huge mistake and a big disappointment.",1,0,14
"I tried these in a local shoe store and felt great in the 5min or so of trying them on there but couldn't get my size AND a decent color from them

1: I picked these because of the very soft/cushioned outer sole and insole, but the cushion seemed to have deflated / compacted after roughly only a month

2: the fake shoe laces (just a giant loop) don't have any way to lock them down even if you pull them tight
this means the foot moves inside the shoe and can cause blisters",2,0,14
"Its a great looking shoe. I saw it in the store and specifically looked for this shoe online because we liked it so much.
Bought it for my 12 yr old. SO disappointed in the quality though! Very thin fabric - that makes it breathable, but also means toes pop through in no time. The fabric is peeling away from the sole after less than a month of wear. If Im going to spend that much on a shoe, I will buy a brand that holds up better next time.",2,0,14
"They said size 10 US, but were 11. I have a lot of sneakers/shoes from many different brands and the size is always consistent. When I returned them at Kohls/Amazon drop off, I bought the same exact same pair in a 10 and they fit perfect. When applying for the return on Amazon, I noticed someone else had also commented they were a size too large. I'd recommend picking them up somewhere else to be safe and avoid having to return them.",1,0,14
"I ordered these for my son to have new school shoes. They lasted a mere 8 DAYS before the loops ripped out and now they are in-wearable! Total junk shoes DO NOT BUY. My son has a broken shoulder right now and cannot participate in gym class or recess so these were used for nothing more than walking within the school building. Adidas should be ashamed. Now - because they were purchased on Amazon and not my local retailer, returns will be extremely difficult if not impossible. What a waste.

Additionally- note that these are a very wide fitting shoe and run big overall. If you have a narrow foot beware - that is - if the thought of paying $65 for shoes that will be unwearable in a couple days doesn’t deter you from buying them in the first place.",1,0,14
"Came with silver painted numbers on the front toe where everyone can see them. Also not connected together and just sent loose in a bag and not a adidas box. Even after reading good reviews, I’m questioning if these are real adidas sneakers. I’ve seen $10 sneakers with better quality",1,0,14
"Received the pair in a beaten box. The paper inside each shoe looked re-wadded. I suspect I was given a used pair, which would explain why the lacing was all messed up on one of the shoes.

Disappointed that Amazon would even consider sending me this. I've owned a pair before and they were good, so I'll have to update my review if they can send me a working pair.",1,0,14
I bought a size 12 for my teenage son to use for running during his JROTC Raiders program. Buyer beware these are a slide on shoe and the shoelaces are just for looks. There is no way to tighten them. My son is very thin and has thin ankles and the shoe would fall off of his foot when he tried to even walk in them. I ended up having to cut those shoelaces off and that was very difficult because they were stitched into the bottom loop on the toe of the shoe. I had to pull it apart with tweezers which took me darn near an hour and then I had to go out and buy extra long shoelaces to then lace up the shoe and tie it tightly. If you are actually wearing these for walking or running I don't recommend buying them unless you want to have to do what I did. Otherwise they are a great looking shoe well made and very lightweight. But why would you sell a running shoe that cannot be adjusted for tightness. This was definitely fashion over function.,3,0,14
"Hole within the sneaker on toe. Will need replacement ASAP. If not will get credit from amazon prime member if not replaced prime as issues credit next day. Just got my credit
Horrible product worst customer service. Do I have say anymore.",1,0,14
"I bought these for my husband as a birthday gift. They look great on him, but he says they feel loose and his feet slide around in the shoe. I ordered his usual size he wears in adidas shoes. My family basically only wears adidas shoes because they are quality made and durable. I have 3 sons who go through shoes fairly quickly, but adidas holds up much longer.",3,0,14
"Perfect fit except for my heel, kept popping up and rubbing and ended up getting a blister. They squeak like crazy too, my coworkers started calling me squidward with the way my footsteps sound. Some of the loops that hold the laces popped out. Lacing system was... interesting. I love adidas sneakers but these were disappointing.",3,0,14
Ordered my husband a pair because he already has some and these are way too big he is an 11 ordered an 11 and too bigike two socks needed too big. May need to order a size down to keep away from the return process.,3,0,14
"These shoes fit great, very comfortable. I was looking for a lightweight shoes to take a daily 3 mile walk in the neighborhood. The issue I had is after a week the soles wore out. I thought it was just a defect so I returned the shoes and ordered a new pair. The same thing happened on the second pair and I had to return them as well.",2,0,14
"I really wanted to give these a better rating because of the support/comfort, but since the laces can’t be tightened my son can’t run (play basketball, certain exercises) or they about come off his feet. Unfortunately they aren’t as snug as they need to be to stay on. That’s really the only bad thing I can say about them, but for him that’s a pretty big problem.",3,0,14
I was so excited because of getting older and less flexible to find a sneaker that was slip-on and reasonably priced. The problem is these are not as easy to slip on as I was hoping. I still require 2 hands and have to bend low and struggle to get over my heel. My budget doesn't allow me to try some of the other brands.,3,0,14
My son liked that they were comfortable. Two days into him wearing them to school the little loops that holds the lace started to detach from the sneakers. Adidas? When did the quality go down? I don't think I will buy this brand again. Very disappointed. They are his only sneakers right now so how can I return them.,1,0,14
These shoes got dirty so fast !!! I mean right away! And then I just noticed the price dropped over $20 since I purchased them a few weeks ago! Do not buy these shoes if they are over $ 45 - which is what the price is now - I paid $65 and every piece of dirt sticks to them !! Do not purchase !unless you like dirty white shoes.,2,0,14
"You can't adjust these laces. I guess they are supposed to magically fit. For my son, the length of the sole was perfect, but the shoe expects a foot with much more volume, so it was just loose. THERE IS NO WAY TO ADJUST THE LACES. You can either take your chances and order or tell Adidas this is nonsense and don't buy them.",2,0,14
"After wearing the shoes a dozen times or so over a 4 month period - they’ve never even been washed - one of the “laces” pulled out. Amazon’s return window closes after 30 days, and I haven’t reached out to Adidas yet... disappointed.",1,0,14
"These shoes were
bought on 28 Mar 2021
and
delivered on 30 Mar 2021.

In less than
Sixty days of normal walking,
they Look like This.

Both the Left and Right shoe are tearing at the seams.

I Could never in good conscience recommend this shoe.",1,0,14
"I bought this because it is supposed to have cloud foam in it. My other shoes with cloudfoam feel like pillows on your feet, super comfortable. This pair had a very firm sole and it not comfortable at all. Also it does not have adjustable shoe laces so you are suck with what they give you.",2,0,14
"This shoe was great for the few months that the tread existed. I don't know if they used a softer material or something relative to other shoes, but its already developed several smooth spots on the sole. This has caused me to slip in damp conditions (after a very light rain).

They're probably great if you don't use them a lot, or only use them lightly. I run, lift, and go for long walks on unpaved trails, and that use tore smoothed them out pretty quick. Very easy to get on and off though!",3,0,14
"Color descriptions and pictures do not match up. I selected black shoes with a white sole (based on the pictures). I got the right shoe style, but the wrong color. The shoes I received were all black, including the soles. Super annoying, these are a gift so I will see if they are ok with this color otherwise I will return.",2,0,14
Completely wrong color shoes. Ordered all black. Recieved black white and green. Shoes fit about a size larger than what they're stated too even though it claims true to size.,1,0,14
"These looked great and fit great for a short time, however the soles aren’t durable. My son has worn them to walk sparingly over the last few weeks, and has run in them 3 times. Just 3! These seem more suited for someone who isn’t active, which is opposite to how they’re marketed.",3,0,14
They are cheaply made. The side of shoe split from sole within 30 days of purchase. Ordered a replacement pair think that first pair were a lemon. Second pair broke at same spot on new shoe within 20 days of receiving them. Save your money and buy something different.,1,0,14
"These shoes were purchased for my 14yr old son for tennis. He liked them because they were lightweight and comfortable. However, after 4 weeks of only being worn to tennis practice and matches, these shoes fell apart! Not what we would expect from Adidas.",1,0,14
"I was looking for a laceless running shoe and tried this since it was cheap. The shoe is comfortable but too loose on my narrow feet (I wear thirteens, cue Biggie). I feel like my feet may slip out during running on the treadmill. The outsole has also worn down significantly after one single 5k run on the treadmill. These may become gym shoes or house slippers :(",2,0,14
Got these for my 10yr old and the mesh had ripped within a week just with normal play. These shoes are good for walking but not any type of normal 10 year old playing.,3,0,14
"I ordered this shoe, and had to have it immediately replaced due to a broken shoelace. The shoe is very spongy and offers little in the way of support. I'd say it is OK for the gym only, not for long walks.",3,0,14
"These are nice for what I bought them for, COMFORT. I have sore feet issues, and these are comfortable.
They are not tight enough, or supportive enough to be used for running distances.",3,0,14
"Horrible customer service. When shoes were purchased it said on Amazon's website that it was ""Free returns"". I received the shoes and they were a .5 size too big, but when I went to return them I was told I would be charged to ship them back and that would be subtracted from the refund price. That is not a ""free return"". Tried contacting customer service of League Outfitters and was told that was Amazon's Policy and there was nothing they could do.",1,0,14
I work in a small carpeted department store which is were I wore these. I’ve had them maybe three months and they just fell apart. They look really cool but for the money I can’t recommend them unless maybe you are in a wheel chair and will never walk around in them. This isn’t much different from most products now tho everything cost the same but is made cheaper. Crap product crap brand.,1,0,14
I'm not an avid runner but I do run shorter distances (1-3 miles). I was in the middle of a workout that had running and lifting and realized this was the worst shoe for either of these. My foot moves around in the shoe while running and the sole is to soft for lifting. Maybe they would be ok if you never made a turn but if you run around the block you feel like your foot is going one way and the shoe is going another.,1,0,14
Love the lite racer series. However these have been worn for a month and the soles are worn almost all the way down. The last 3 pairs 8 bought lasted 6 to 7 months before replacing.,3,0,14
"The shoes that came in do not match the shoes in the picture. Shoes in picture have white sole, shoes that came in is all black. I like the all black too but just make sure you read description colors and not look at picture for color.",3,0,14
I bought them as a gift for my brother The shoes ripped thru the front while he was running on the third day he used them not great quality for a size 13 foot apparently,1,0,14
I don’t know if I’m the only one having this problem but it has an annoying bump by the left side of the shoe in the left shoe. It’s really annoying I tried wearing them for a couple days but it feels the same,1,0,14
Definitely needs quality control,1,0,14
"Unfortunately, after one day of wearing these shoes one of the straps across the top snapped loose and now it just hangs. Poor design. I really like the shoe, it fits great but now it just looks silly. Trying to fix it but not sure how to tie the tiny sting that holds the loop together.",1,0,14
 Cheaply made. I’ve owned a few and all I do is walk around in them and they always tear in the same spot. Wouldn’t recommend.,1,0,14
"The description said used, didn’t realize they would be broken. If these are purchased new, they’re super nice and comfortable",1,0,14
"Love the shoe, and completely happy so far straight outta the box I have one complaint though. The color option was not what I picked. I asked for a pair of the black on white trim shoes. Instead I to my own disappointment received all black... I'd go through the return process but it's just a hassle.",2,0,14
"You cannot run in these shoes, they have no support. They cushy and better for lounging. Have fun jogging in these if you want an injury",2,0,14
This is my 3rd pair of the lite racer adapt 3 in size 13. My favorite shoe so far. First time purchasing off Amazon rather than adidas website. But this feels fake. Not comfortable/padded bottom. Tighter and more narrow than my other two pairs. Either they’re fake or they had a lapse in quality control. Looks real,2,0,14
Bought this for my husband on 06/21. He wore it 3 times and it broke today. Don't buy!!!! Not sure if it even authentic.,1,0,14
"Ripped at the toe!! After 1 month so awful my son couldn’t run freely , now he’s worried it’ll rip more",2,0,14
"2nd pair that I’ve received that had damage. Send first pair back due to what looked like teeth marks, now this? Not sure what the deal is but I won’t be wasting time returning again. No real solution to this issue, so I’ll just keep the damaged shoe",1,0,14
They fit great & very comfortable. Unfortunately less then a month of having them the side broke and laces are all one piece so cannot be fixed. Very disappointed with them. Not cheap so should last more then a month.,2,0,14
"Runs very large! My son’s current Addidas were size 11. We ordered a 10 and they are still too big. Got a 9 and 9.5 and the 9.5 fits perfectly. Great shoe, sizing is way off.",3,0,14
"Pros: Comfortable shoe. The fit was larger than expected but I could put up with that.

Cons: Extremely fast color fade. My black shoes are now purple after two months. I just noticed this hole as well and since I bought two months ago I can’t return them. I’m not very happy. Might have to switch to Nike",1,0,14
Not even three weeks old and already falling apart. The bottom tread is almost warn flat. From an 11 yo boy to boot. Terrible shoe. I expected more from adidas.,1,0,14
Amazon denied my return request for some reason I’m not entirely sure but they said it was outside of the window which wasn’t the case because it was only one week when I first submitted for return do no recommend,1,0,14
There is not way to tighten the shoe and the opening comes down way too far. It feels like a slipper not a sneaker.,3,0,14
To say these are large is an understatement. They are GIANT. like 2 whole sizes too big.,1,0,14
"Shoe fell apart in less than 30 days, and on day after the return window closed. Sad. Don't waste your money.",1,0,14
"The eyelet design is bad, I should've known but I wanted them to work. An eyelet ripped within a couple months of purchasing, so now I have a left shoe that is tight and the other is loose on the front left of my right foot. I would give a 5 star if they had designed the eyelets better. But without working laces it's not a running shoe anymore. The shoe is best meant for casual slip-on wear, no inclined or declined running/walking as it puts stress on the poor eyelet design.",1,0,14
Felt like the shoes were stretched out or a wide fit. They looked better in picture. Very lightweight and ran big for the size.,3,0,14
"Soles started separating on August 27, 2021. Ridiculous to have shoes that only last 3 months!!!",1,0,14
Purchased two pair and both right shoes were smaller than the left! 😭😡. These are my favorite work shoes! I don’t know what to buy now!!!,1,0,14
Incorrect shoes were sent twice.,1,0,14
"Poor poor quality, developed a hole in the big toe area of one shoe within a week or so",1,0,14
These sneakers were returned due to running a bit smaller than expected.,1,0,14
Bought these in May and it is beginning of July now and they shoes have already broken! The part where the laces attach to the shoe came off. Now they do not fit right....,1,0,14
One of the straps holding the laces to the sole broke after 2 days. I sent back.,1,0,14
"After a month or so, its already got a hole in it. And it was a gift for my son.",3,0,14
"The shoes were decently comfortable and light. I’m a waiter and bought them as work shoes. During about my 7th shift, I looked down and saw the lace dragging in the ground. The stitch ripped off and would be a tough fix. If I ripped off the whole lace, I would lose support… so kind of a sh!tty situation.",1,0,14
The shoe is coming apart after 5 weeks after normal use no excising. Tread didn’t last either,1,0,14
"Ordered these shoes in black with white tread and logo and received black on black. But the size was correct, and I think I prefer the black on black so I'm not too upset.",3,0,14
