review,star,label,link_idx
Burst seam on side after 3.5 months of relatively heavy use,2,0,23
"I bought this pair of shoes in the end of December, its now July 5th and they are smoked! Very dissatisfied with them! Would not recommend them to anyone! These shoes should last more than 7months.....",1,0,23
Absolutely the worst pair of shoes I’ve ever purchased.Factory defects and will never buy from you again.2 months old and completely shot.Typical corporate business passing on below substandard products to your customers.You may wanna take a look around as shafting the customers is actually shafting yourself,1,0,23
I’ve had a quite a few different kind of Adidas cluster one of the few you could still find 12 1/2‘s 12 is where most brands jump right to 13 and have never had a problem these are a little bit tight they’re nice sneakers but that mean even looks small compared to my other Adidas in Exton I’m supposedly the same size it’s probably just a difference in the cup but I’ve had a couple different style Adidas at 12 1/2 and incredibly comfortable these are snug right out of the box Amazon and the seller were spot on more common sizes are probably spot on but I particularly look for Adidas and 12 1/2 because they’re always perfect stuff first time they weren’t,3,0,23
"I think these shoes look great! However, these are probably the most painful shoes I’ve ever worn. But they overall hurt. Its almost as if they build the sole from the wrong material. Feels like my feet are walking on hard plastic. I bought some gel inserts but bc the shoes are already snug I’m trading one issue for another. I would buy one size up so give yourself some options.",3,0,23
"Maybe it's because I've exclusively worn skate shoes for the past decade, but these were really uncomfortable. They felt really thin and flimsy, no padding or cushion of any kind, and they rubbed a blister in my pinky toe. Decided to return. Think I might just stick to buying shoes from retail stores so I can actually try them on first.",2,0,23
"The sneaker is nice but they r just to narrow I cant keep my feet in them for more then a couple of mins,,I can deal with adding a different sole to them to give more padding but the tightness I cant",3,0,23
"I like the looks and feel of the shoe, but straight out of the busted up box, the shoes look like they have been worn before. There is creases already in the shoe. Not going to stop me from wearing them, it is just very disappointing.",2,0,23
Bought these in men’s size for extra width but the shoes were not comfortable at all. I needed shoes that offered ankle support. Sadly I had to return them,2,0,23
When I got these I was busy. So I couldn’t try them on. Three months later I finally got to try them. Way too small.,1,0,23
The look is nice. I like black on black.,2,0,23
"Good looking shoe but incredible narrow. I have narrow feet and usually have to avoid wide shoes, but these are unusually narrow. Also no arch support at all. So uncomfortable.",3,0,23
"Great beater shoes. One lip came larger than the other which looks wrong (and annoying), but overall good quality for the price",3,0,23
Not as cushy and two totally wrong sized laces sent. QC and QA need to step it up.,3,0,23
"Very narrow. I don't even have that wide of feet. Shoes with break in, very painful. Had to return.",1,0,23
"Very narrow, not recommended for those with wider feet.",3,0,23
I like the shoe the only thing wrong is that there is this glue like substance on on the laces on one of the shoes that won’t come off not the biggest Deal I already ordered new laces but still strange and shouldn’t have glue on the laces In the first place,3,0,23
These arrived creased in a destroyed box,1,0,23
