review,star,label,link_idx
So I won't lie I'm a big girl and I weigh roughly 350 lbs and I am on my feet all day at work and I got these because everyday my back is killing me and after wearing these while working it is the first time that I wasn't hobbling out to my car after my shift,5,1,5
" Super cute! I really love these shoes! They are comfortable and they can be worn pretty much anywhere! The fit is perfect!! The pink color, is a deep rich pink! These are my new favorite shoes!!! I’m really excited to wear them around!",5,1,5
"I had worn out Adidas that needed replacement. I was weary of getting a brand I was unfamiliar with, but I loved the design. They are perfect! I can do 6 miles and my feet are good and better yet they hold my ankle well. I didn’t realize how my feet were twisting/moving too much in my Adidas shoes that were way too wide. I have better support and they look like high end sneakers. My brother spends $100 and up on sneakers and he was impressed. -Heather",5,1,5
These athletic shoes were a pleasant surprise! Love how vibrant the colors are and how nice the fit is. I would say they are true to size and really comfy too!,5,1,5
"So I ordered the purple ones and I got pink, but honestly I’ve decided I like the pink ones better anyways and also these are the most comfortable running shoes I’ve had in YEARS! The minute I put them on it was like walking on a cloud. I can’t wait to wear these in the gym! I just took my dogs for a walk in them and usually my back hurts a lot when I walk both dogs (I have two) but these shoes made it much less painful for me and my back issues. If you’re looking for new gym shoes or just walking in general, get a pair of these!!",5,1,5
Great shoe. I needed a good running shoe & these r comfortable & I live the black & white. Look cute,5,1,5
"After reading the reviews . I thought I’d give this shoe s a try . I normally wear Nike .I’ve only had them for a few days I wanted to make sure they were going to work I’m not sure if I’m keeping them or not I like the way they look, but after having them on for a few hours my left foot hurts .It could be just me . I have experience this with any other shoe .I don’t think I could wear these gym shoes more then a few hours",5,1,5
"Comfortable and affordable. Fits great and has nice air flow.

Update 2 months later shoes literally broke in half!

I did contact seller and they did compromise with me and a refund not full $ back but it's not their fault it's the manufacturer. But I was pleased they cared enough to work with me.",1,0,5
Very comfortable for any type of workout. I like how my feet look in them- very sleek.,5,1,5
"I purchased these for walking/jogging but didn't realize they were not Air Max even though they looked awfully close. The comfort is not good & the shoes left a bruise on my skin underneath the tongues just from walking. They fit snug even though I ordered a larger size than I wear. Needless to say, I was disappointed but not going to waste time trying to return them. These are pretty much Bo Bo's.",1,0,5
"Overall, gorgeous color and great quality. Can hardly tell the difference in comfort between these and Under Armour or Nike - right out of the box. I think this shoe runs a little small however so if you have a wider feet, the narrow toe probably won't work for you. I was really impressed with the comfort level and arch support for this price. There were two main reasons why I returned these. 1) narrow toe bed rubbed too much 2) puffy heal piece felt like it may get uncomfortable. I have a shoe now with a very thin heal support and I'm not used to a thicker one.",3,0,5
"These shoes look just like the photos. They came nicely packaged. They are very lightweight. The only thing I don’t care for about them is that they are very pointy and narrow through the toe area. If you have any toe problems or like a little room for your toes to be able to move, these are not the shoes for you. I wore them to work and couldn’t wait to take them off when I got home. I haven’t worn them since. And in my opinion because they are so narrow and pointy the made my feet look a lot bigger 🙁",3,0,5
"I searched Nike Air and this was included in the products that were listed. As it stated ""Air"" I did not fully see that it was not a Nike product. When I received the shoes they were a bit on the large side but being that they were running shoes, I thought I just needed the extra room for my toes. Unfortunately, I tried running the treadmill in these three times. Each time, the ball on my right foot would ache after wearing them. Furthermore Nike was no where listed on the shoe. I went back to my Amazon order and sure enough they were not made by Nike. Sure they are eye catching. They're pretty and as long as you're really not trying to exercise in them, they're probably alright. I noticed that after working out with them three times the rubber off the bottom started to wear and come off. These are really cheap tennis shoes. They hurt my feet and I've returned them in hopes of a refund. I feel misled.",1,0,5
"I really wanted to love these. They are super cute, but that's all they got going for them. I was excited based on other reviews. I tried these out going shopping.
My feet hurt more than they have in a long time and i have plantar fasciitis. I have bad ankles and they ached. My low back pain (degenerative disc disorder, arthritis and scoliosis) is already enough, these shoes were TERRIBLE!. i bought some new inserts and instantly they were better. There's no cushion. No give, i think a pizza box has more cushion. I included pics of the shoe insoles. If I'm going to pay extra just to make them tolerable is not worth it.

On another note the tongue seems extra long and is a bit annoying.",1,0,5
Love these shoes!!! So cushiony and comfortable and they look cute. Don’t hurt my feet. Highly recommend.,5,1,5
When I ordered them I ordered a size 9. They sent me a 9.5. The 9.5 barely fit. They do not run true to their size. They are a small shoe. Plus when tying the shoe you have to hold the tongue of the shoe in place other wise it does not stay in place. They are a pretty shoe and some what comfortable but I wouldn't get then again. To much of a hassle,3,0,5
"I have had these shoes two months and found out today they have multiple cracks along the bottom. Shortly after I got them, I had to walk in the rain and noticed my feet got soaked. I wrote it off as a heavy rain, so didn't check the bottoms of the shoes. It's been fairly dry lately, so I didn't question the two times my feet got soaked until today when I was walking in a sprinkling rain and my feet again got soaked, so I checked the bottoms of the shoes and sure enough, they have multiple horizontal cracks in the bottoms.
They are beautiful shoes. I got compliments several times a week on how good they look. They were very comfortable (as long as the weather was dry). They dry out quickly when they get wet, but unfortunately my socks do not. Good looks doesn't do it for me, it's merely a small reason for the shoes I buy. I'm practical in my shoe purchases and have different expectations for different shoes. I expect my work shoes to only last six months because my job is insane and the work is hard on them. I expect my sneakers to last at least one year, usually they last at least two years because they are only worn to and from work and on errands. So these sneakers were a major disappointment. Two months is a waste of my money.",1,0,5
They have decent grip and are supportive and comfortable over all. But the toes are pretty narrow. I would recommend going at least a half a size up. If you have wide feet I might go a full size up.,3,0,5
