review,star,label,link_idx
I bought these thinking they were new since it's full price. I got them today and they came in a damaged box and the shoes are obviously used with grass and dirt on the bottoms and stains all over the shoes. The soles are worn down from use over time. What a joke! I'm so angry about this! Do not buy from these people.,1,0,26
I have been wearing Air Zoom Peg 36 for many years. After trying the 37 I found the style has changed and the shoe is now made higher fitting and rubs on ankle bone because of this. I returned these shoes.,2,0,26
"The cost of these shoes have nearly doubled in recent years. And yet quality has diminished. Terribly chincy, paper thing tongue that rubs uncomfortably. So disappointed.",2,0,26
"They are way uncomfortable to wear all day or for running or walking. for a Nike shoe, I am very surprised at low quality! Ss",1,0,26
La talla us no corresponde a las tallas disponibles en Colombia,1,0,26
Loke the color but hated the way the back/heel looked and felt,3,0,26
"EXPECTED FIT IS GOOD. STRICTLY FOR RUNNING.
TRIED TO USE THEM FOR SHORT DISTANCE WALKING. FEELS UNSTEADY… TRIED TO RETURN THEM. BUT, TOO LATE! MIGHT TRY TO SELL THEM
ON AMAZON!",3,0,26
A substandard product was sent with zero finish. Seemed as if a rejected piece that was sold at full price and sent across to me . HIGHLY DISAPPOINTED with Amazon for not doing quality checks before sending products . HIGHLY DISAPPOINTED with Nike for letting sub standard products be sold in the market - not caring enough for their brand image,1,0,26
"I was really looking forward to a new pair of shoes for work and when I first tried these on they felt fine. Well, I work 12 hour shifts on my feet and these rubbed the back of my heels and tops of my feet so bad they were raw when I got home! I wont wear them again.",2,0,26
"I couldn’t wait for them to come and after the first try to the store and back I couldn’t stand it.
They are very high in the back and it gave me very ugly blisters. I don’t know if I can send them back after I used them one time. The back does not have a lot of cushion and being very high that creates a very uncomfortable fit . I am so sorry .... I cannot even walk ; running will be impossible.",1,0,26
These run SMALL.,3,0,26
I generally wear an 8 in shoes and an 8.5 in athletic sneakers/runners. I got these in an 8.5 and they fit quite well - EXCEPT - wow is there something wrong with the way the backs of these shoes curve. Right into your achilles tendon with exceptional force. I saw other people mention this in their review but I didn't think I'd have a problem with it because I always wear socks with a very cushioned heel tab. You can see the black stripe on my sock heel in my photos- it's right where this hits my achilles tendon. And it does not help. At all. These were so painful. Even just standing - not even moving - they dig in and hurt. I only lasted a minute or two wearing these around my house before I packed them up for a speedy return. I'd only recommend these if you don't have achilles tendons.,2,0,26
"I know my bad review is strange since these are my second pair. I’ll explain…. I bought my first pair at Kohl’s and I was stuck with them because I wore them outside sooo I went through very uncomfortable long walks & workouts with horrible blisters on both heels (caused by the high heel design and rough material) until eventually they became bearable while I continued looking for a new pair. (clearly I haven’t been successful). I’ve had them for 1 1/2 years and they finally fit to the point I’m not uncomfortable but the cushioned footbed is flat & worn & I have a hole in the front left shoe so I need a new pair. I would normally never walk around with a hole in my shoe but I’m having a hard time finding a new pair. I finally decided to order these, I wasn’t excited to get the same exact shoe but thought I’d go up 1/2 size , that would definitely help and deal with it. I’m not convinced I will keep them. I feel even though I went up a 1/2 size I’m still going to get blisters. At this point I need to go into a store and try them on which I’ve done several times 🤫 After reading a lot of reviews (after I received) it seems it’s a design flaw for the blister issues! Also, I remember when I bought my first pair I thought they were super comfortable, that was NOT the case once I went out on a 2 hour walk😭 I know everyone has different feet these might work for some people but not for me. I don’t want to get stuck with another pair.",3,0,26
"These are going to fit my two left feet so well. NOT. Received two shoes, one is a size 8, the other is a size 9. Both are for the two left feet that I didn’t know I had which are apparently two different sizes. Cute shoe but can’t comment on anything else but looks. Also, my right foot feels slighted. Return.",1,0,26
"They are super cute. I went for a power walk, right away I felt my Achilles being dug into. I figured it may loosen up. I ordered 8.5, sizing is accurate. I tried different socks to avoid the friction and my Achilles being dug into. The part that touches Achilles is hard and sharp. If I can’t walk in them I sure can NOT run in them. Maybe it’s just the white pair and how they are designed. Sadly, I will have to return them.",2,0,26
"These shoes were uncomfortable the minute I put them on. Hard soles, not bouncy. Usually, with a new pair of shoes, as soon as you put them on they feel great. The part that sticks up above the heel is stiff and cuts in to my lower back leg. The top of the tongue material felt uncomfortable as well, as though there is a seam there. I have nothing good to say about these sneakers.",1,0,26
"This is the first time I have ever considered that I may have gotten a fake item on Amazon. I own these exact shoes in a size 8 that i purchased from Finish Line, i only had them a few months and they got quite dirty so i ordered the same pair from Amazon and i cant even get my foot into the size 8. The shoe is also very hard and stiff, Ive never experienced something like this before.",1,0,26
"Runs small. Nikes are the only running shoes I wear because of their arch support. Unlike their other shoes, however, these have no arch support. They are very padded, but still require an arch insole. Also, most of their shoes have a notch out of the heel to make a crescent shape and allow room to move. These have a heel that makes an arch high up on the heel and makes blisters in less than 20 minutes of wearing. Poor design and will make me think carefully before purchasing this brand in the future.",2,0,26
"I walk a lot and buy quite a few walking/running shoes. I recently purchased a couple of Nikes and found them to be the perfect design for my feet. Unfortunately, this design in the same size as the others were to short. I had to return them.",3,0,26
"Love the style and colors; fresh for summer but after just one wear within the first hour, felt pressure on the back of my ankle. When I got home, had a blister on the back of my ankle. Not worth the pain. Needs heel cushion.",3,0,26
"These shoes run very small. I ordered a half size larger than I usually wear due to other people saying they run small, and they still did not fit well, still very tight.
The shoe is really a nice looking shoe, but I just couldn't deal with how tight they fit and had to return them.",3,0,26
"I loved these shoes when I first got them, but now they started making a clicking noise when I walk and it’s very disappointing!! I purchased these because I had another pair just different color that just wore out. Other than the noises when I walk they are just like my others.",2,0,26
"I liked the style, the cushion, and the comfort of the shoe. However, after walking on them for a few minutes, my feet began to feel like they were being pushed/slid forward, hitting against the front, which made my toes sore. I am returning these shoes.",2,0,26
"I rarely write reviews but I had to for these. These shoes look great and at first feel great. However, after two weeks of running in them, I started developing shin splints. I've had them and have ran in them for two months now and have to consistently deal with shin splints. The one year old shoes I had before these never gave me any shin splints.

For context, I run around 11 miles per week.",1,0,26
Horrible experience buying running shoes online. I wore them once for a 3 mile walk/run and they tore my feet apart. So disappointed with the brand because I expected better than that for the price I paid. Will never buy walking/running shoes online again. My feet hurt as if they've been put through a grinder.,1,0,26
"Even though I bought a half size larger, the shoe keeps hurting my ankle due to the design or a flaw.",1,0,26
I will be returning. Sadly!! I got the normal size I buy with Nike and they were a size to small. So bummed cuz I’m nit buying again. I feel that something isn’t right!! I have a lot a of Nike sneakers never have I had to go a full size larger. 8 1/2 normal size but def need a 9 1/2 if I were to buy again.,3,0,26
"Check the attached images that the shoes has different size, in the first image has 7 US size and the second image has 6 US size, In the image with both shoes you can see that they have different sizes, I'm very disappointed",1,0,26
"the sneaker rubs on my heal, within minutes I developed blisters. I put band aids on and bought athletic sneakers but it's not helping. I can't use them. I like the look of the sneaker and the fit feels great until i start walking./",2,0,26
"Everything seems nice and pretty, but ordered 8.5 and received 9.5 it was a gift for someone living in another country, so TOTAL FAIL for me.",3,0,26
Reviews warned to order ONE FULL SIZE BIGGER. You need to do this. Also expected more comfort for the high cost. Very sub par shoe.,3,0,26
"Wow. I’ve never had this problem with Nike’s before. Put them on for the first time to walk my dogs. Super comfortable until I actually started walking. They rubbed horrible blisters into the back of my heels in 20 mins. I usually don’t get blisters and I understand that shoes should be worn in before taking them on significant treks, but this is crazy. How is one supposed to break them in when you can’t walk in them for more than 10 mins? Pick another pair.",2,0,26
Great looking shoes just small fit,2,0,26
"Shoes are great looking, but I received two right shoes so they are useless unless someone sends me a left shoe!",1,0,26
"Mal zapato, ajuste extraño no cuadra la talla. El plástico es ordinario",1,0,26
